id,name,address,latitude,longitude,kickboard,bicycle
169,중흥3동쌈지주차장(2),광주광역시 북구 향토문화로 14,35.1685219,126.9161043,6,0
170,중앙동 쌈지주차장,광주광역시 북구 유동 중가로51번길 29,35.1608217,126.906419,6,0
171,임동쌈지주차장(1),광주광역시 북구 임동 경양로63번길 17,35.1639696,126.8994792,6,0
172,임동쌈지주차장(2),광주광역시 북구 임동 서림로51번길 5,35.1659826,126.8939593,6,0
173,임동쌈지주차장(3),광주광역시 북구 경양로 56-2 ,35.1632568,126.898209,6,0
174,신안동쌈지주차장(1),광주광역시 북구 중흥로83번길 17-8 ,35.1648588,126.9032981,6,0
175,신안동쌈지주차장(2),광주광역시 북구 무등로164번길 28 ,35.1649189,126.9009867,6,0
176,신안동쌈지주차장(3),광주광역시 북구 무등로154번길 30-1,35.1650426,126.899917,6,0
177,용봉동쌈지주차장,광주광역시 북구 용주로18번길24-3(용봉동),35.1803601,126.9010489,6,0
178,운암2동쌈지주차장,광주광역시 북구 비엔날레로13번길 28-13 ,35.1755313,126.8850574,6,0
179,문흥1동쌈지주차장,광주광역시 북구 문흥동 문산로74번길 71,35.1828344,126.9226181,6,0
180,두암1동쌈지주차장,광주광역시 북구 군왕로117번길 9-1,35.1717045,126.9322309,6,0
181,두암2동쌈지주차장,광주광역시 북구 두리봉길6번길 14 ,35.1758412,126.9320451,6,0
182,두암3동쌈지주차장(1),광주광역시 북구 두암동 삼정로3번길 25,35.1630322,126.9347756,6,0
183,두암3동쌈지주차장(2),광주광역시 북구 밤실로191번길 5-3,35.1640405,126.9335089,6,0
184,삼각동 쌈지주차장,광주광역시 북구 삼각동 송해로 8,35.1993167,126.9018083,6,0
185,매곡동 쌈지주차장,광주광역시 북구 매곡로69번길 37 ,35.1884456,126.8920508,6,0
186,오치1동쌈지주차장(1),광주광역시 북구 오치동 오산정길 31,35.1896011,126.9087236,6,0
187,오치1동쌈지주차장(2),광주광역시 북구 오치동 오산정길 16,35.1883821,126.9085862,6,0
188,오치1동쌈지주차장(3),광주광역시 북구 오산정길7번길 36 ,35.1878608,126.9062534,6,0
189,오치2동쌈지주차장,광주광역시 북구 안산로 38-30,35.190377,126.9034219,6,0
190,석곡동 쌈지주차장,광주광역시 북구 망월동 석곡로 503,35.1985328,126.9508321,6,0
191,건국동 쌈지주차장,광주광역시 북구 본촌동 양산택지로79번길 26,35.2139729,126.8796101,6,0
192,양산동 쌈지주차장(1),광주광역시 북구 양산동 하서로 225,35.2019384,126.8760848,6,0
193,양산동 쌈지주차장(2),광주광역시 북구 양산동 하서로219번길 33,35.1956126,126.8757437,6,0
194,양산동 쌈지주차장(3),광주광역시 북구효열로29번길 8-2,35.2082794,126.8722326,6,0
195,중흥1동행정복지센터,광주광역시 북구 중흥로183번길 7,35.1616289,126.9139818,6,0
196,중흥2동행정복지센터(1),광주광역시 북구 우치로1번길 10,35.1682876,126.9092862,6,0
197,중흥2동행정복지센터(2),광주광역시 북구 우치로1번길 18-5,35.1686509,126.9083889,6,0
198,중흥3동행정복지센터,광주광역시 북구 서방로40번길12,35.1722603,126.917159,6,0
199,중앙동행정복지센터,광주광역시 북구 금재로 30,35.1573202,126.9066514,6,0
200,임동행정복지센터,광주광역시 북구 서림로 30,35.166709,126.8916739,6,0
201,신안동행정복지센터,광주광역시 북구 자산로 66,35.1674006,126.8987239,4,2
202,용봉동행정복지센터,광주광역시 북구 반룡로27번길 36,35.1805168,126.9019251,4,2
203,운암1동행정복지센터,광주광역시 북구 동운로201번길 55 운암1동주민센터,35.174762,126.8744645,4,2
204,운암2동행정복지센터,광주광역시 북구 죽봉대로 214,35.1725238,126.8850985,4,2
205,운암3동행정복지센터,광주광역시 북구 운암3동 1054-10,35.1827855,126.8743295,4,2
206,동림동행정복지센터,광주광역시 북구 북문대로 236,35.1870234,126.8666457,4,2
207,풍향동행정복지센터,광주광역시 북구 필문대로29번길 10,35.1644018,126.923196,4,2
208,문화동행정복지센터,광주광역시 북구 군왕로 233 문화동사무소,35.1814886,126.9368703,4,2
209,문흥1동행정복지센터,광주광역시 북구 대천로 140-3,35.1868905,126.9216917,4,2
210,문흥2동행정복지센터,광주광역시 북구 문산로 25,35.1843068,126.9219542,4,2
211,두암1동행정복지센터,광주광역시 북구 동문대로110번길 77,35.1709423,126.928996,4,2
212,두암2동행정복지센터,광주광역시 북구 면앙로192번길 15,35.1745693,126.932659,4,2
213,두암3동행정복지센터,광주광역시 북구 삼정로3번길 25,35.1630322,126.9347756,4,2
214,삼각동행정복지센터,광주광역시 북구 설죽로 447,35.1992336,126.8995034,4,2
215,일곡동행정복지센터,광주광역시 북구 설죽로 525 일곡동사무소,35.2060406,126.8972624,4,2
216,매곡동행정복지센터,광주광역시 북구 매곡로69번길 25 매곡동사무소,35.1896258,126.8921244,4,2
217,오치1동행정복지센터,광주광역시 북구 우치로274번길 48 오치1동사무소,35.1891807,126.9081061,4,2
218,오치2동행정복지센터,광주광역시 북구 서하로183번길 29 오치2동행정복지센터,35.1900703,126.9004847,4,2
219,석곡동행정복지센터,광주광역시 북구 석곡로 634,35.2151415,126.9501004,4,2
220,건국동행정복지센터,광주광역시 북구 본촌마을길 25,35.2226223,126.8817785,4,2
221,양산동행정복지센터,광주광역시 북구 양산택지로 32,35.2134765,126.8771673,4,2
222,일곡엘리체 공영주차장,광주광역시 북구 삼각동 설죽로 419,35.1929154,126.8980778,4,2
223,본촌동 공영주차장,광주광역시 북구 용두택지로 66,35.2164492,126.8787988,4,2
224,삼각동 공영주차장,광주광역시 북구 삼각동 설죽로471번길 12,35.200998,126.8980641,4,2
225,문화예술회관 공영주차장,광주광역시 북문대로 60,35.1777124,126.8817023,4,2
226,용동봉 제1공영주차장,광주광역시 북구 저불로 47-14(용봉동),35.1790281,126.8938441,4,2
227,용봉동 제2공영주차장,광주광역시 북구 용주로 2(용봉동),35.180482,126.8986847,4,2
228,두암2동쌈지주차장(2),광주광역시 북구 군왕로141번길 58-8,35.1741453,126.9298563,4,2
229,성안교회주차장,광주광역시 광산구 장신로 301,35.1920599,126.8424017,4,2
230,비아교회주차장,광주광역시 광산구 비아중앙로31번길 8-3,35.2220464,126.8237717,4,2
231,수완동주차장01,광주광역시 광산구 수완로74번길 11-76,35.193831,126.8306724,4,2
232,수완동주차장02,광주광역시 광산구 수완로50번길 45,35.1909943,126.8259115,4,2
233,수완동주차장03,광주광역시 광산구 수완로74번길 29-5,35.1921864,126.8305247,4,2
234,월곡동주차장,광주광역시 광산구 사암로390번길 13-22,35.1794403,126.8094452,4,2
235,임곡동주민센터 주차장,광주광역시 광산구 고봉로 788,35.2194811,126.7446975,4,2
236,이야기꽃 도서관 주차장,광주광역시 광산구 선운중앙로67번길6,35.1444811,126.7819352,4,2
237,비아5일시장 공영주차장,광주광역시 광산구 비아중앙로 26-1,35.2210281,126.825188,4,2
238,신흥동행정복지센터 공영주차장,광주광역시 광산구 신흥동안길 9,35.1452689,126.8006328,4,2
